source_image_id,crop_id,worker_bbox,helmet_present,vest_present,boots_present,gloves_present,derived_label,label_confidence,rejection_reason,transformation_version
scene_0000,scene_0000_w00,"[159,232,113,350]",False,False,True,False,NO_PPE,1.0,NONE,1.0.0
scene_0000,scene_0000_w01,"[480,383,153,240]",False,True,False,True,PARTIAL_PPE,1.0,NONE,1.0.0
scene_0001,scene_0001_w00,"[99,232,103,228]",True,True,False,True,FULL_PPE,1.0,NONE,1.0.0
scene_0001,scene_0001_w01,"[290,260,97,254]",True,True,True,False,FULL_PPE,1.0,NONE,1.0.0
scene_0001,scene_0001_w02,"[518,325,93,273]",False,False,True,True,NO_PPE,1.0,NONE,1.0.0
scene_0002,scene_0002_w00,"[310,244,130,234]",True,True,True,False,FULL_PPE,1.0,NONE,1.0.0
scene_0003,scene_0003_w00,"[57,330,101,252]",True,False,True,False,PARTIAL_PPE,1.0,NONE,1.0.0
scene_0003,scene_0003_w01,"[494,180,124,320]",False,True,False,False,PARTIAL_PPE,1.0,NONE,1.0.0
scene_0004,scene_0004_w00,"[37,245,148,305]",False,True,False,True,PARTIAL_PPE,1.0,NONE,1.0.0
scene_0004,scene_0004_w01,"[304,308,119,294]",True,True,True,True,FULL_PPE,1.0,NONE,1.0.0
scene_0004,scene_0004_w02,"[462,230,159,356]",True,True,False,False,FULL_PPE,1.0,NONE,1.0.0
scene_0005,scene_0005_w00,"[229,233,91,349]",True,True,True,True,FULL_PPE,1.0,NONE,1.0.0
scene_0006,scene_0006_w00,"[249,195,159,358]",False,False,True,False,NO_PPE,1.0,NONE,1.0.0
scene_0007,scene_0007_w00,"[272,269,131,318]",False,False,True,False,NO_PPE,1.0,NONE,1.0.0
scene_0008,scene_0008_w00,"[129,340,113,273]",False,True,False,True,PARTIAL_PPE,1.0,NONE,1.0.0
scene_0008,scene_0008_w01,"[465,307,114,312]",True,True,True,True,FULL_PPE,1.0,NONE,1.0.0
scene_0009,scene_0009_w00,"[479,201,148,334]",True,True,True,False,FULL_PPE,1.0,NONE,1.0.0
scene_0010,scene_0010_w00,"[126,185,106,265]",True,True,False,True,FULL_PPE,1.0,NONE,1.0.0
scene_0010,scene_0010_w01,"[418,295,142,314]",True,True,True,True,FULL_PPE,1.0,NONE,1.0.0
scene_0011,scene_0011_w00,"[108,229,131,245]",False,False,True,True,NO_PPE,1.0,NONE,1.0.0
scene_0011,scene_0011_w01,"[492,199,146,255]",True,False,True,True,PARTIAL_PPE,1.0,NONE,1.0.0
scene_0012,scene_0012_w00,"[14,282,97,272]",True,True,False,True,FULL_PPE,1.0,NONE,1.0.0
scene_0013,scene_0013_w00,"[131,180,90,277]",False,True,False,False,PARTIAL_PPE,1.0,NONE,1.0.0
scene_0013,scene_0013_w01,"[508,371,90,235]",True,False,True,False,PARTIAL_PPE,1.0,NONE,1.0.0
scene_0014,scene_0014_w00,"[42,280,128,319]",True,True,True,True,FULL_PPE,1.0,NONE,1.0.0
scene_0014,scene_0014_w01,"[320,248,99,315]",True,False,True,True,PARTIAL_PPE,1.0,NONE,1.0.0
scene_0015,scene_0015_w00,"[311,309,102,231]",True,True,True,False,FULL_PPE,1.0,NONE,1.0.0
scene_0016,scene_0016_w00,"[366,252,125,357]",True,False,True,False,PARTIAL_PPE,1.0,NONE,1.0.0
