sample_id,source_image_id,split,class,sha256,phash,lineage_id
scene_0000_w00,scene_0000,train,NO_PPE,e223aefbce67e6d9cd03da9d09ac94a99ba3eb1c0769f1d9696b612510b9f46b,1000110000001101001010110010101100110011001100110011001100110101,scene_0000->scene_0000_w00
scene_0000_w01,scene_0000,train,PARTIAL_PPE,72f1ac734a426a1a77c2ceba0d023152f75663b07fda223e420f8c37d4e753f8,0010111000101111011010010110100101101001001100110011001100110011,scene_0000->scene_0000_w01
scene_0001_w00,scene_0001,val,FULL_PPE,70839363f3e2b86683efb71a4c8202a17300f8f2293c641e5702dfef63a7283d,1010000000001111011010010110100100101011001100110011001100110011,scene_0001->scene_0001_w00
scene_0001_w01,scene_0001,val,FULL_PPE,079a0ee84bd516c1701d57a27c9bccd50709f568177e5f3dffe35e95fd131600,1001011000101011011010010110100100101011001100110011001100010011,scene_0001->scene_0001_w01
scene_0001_w02,scene_0001,val,NO_PPE,f85c54915a85cdcb2efd3da8dd63953c964fe4565d22ecc8ed3ebc1719a4a5da,1000111000001111001010110010101100110011001100110011001100110011,scene_0001->scene_0001_w02
scene_0002_w00,scene_0002,test,FULL_PPE,0e7677b5c510bdb7cdc6505bcd273c419f45534d126c2d175e2b868fd621d024,1000011000001111011010010110100100101001001100110011001100100111,scene_0002->scene_0002_w00
scene_0003_w00,scene_0003,train,PARTIAL_PPE,690c53554f126514f6e258531b7237a8f0fff5d67cef32b1cdcbf449ec45ab69,0011000000110011001100110010101100110011001100110011001100111011,scene_0003->scene_0003_w00
scene_0003_w01,scene_0003,train,PARTIAL_PPE,0611ff355a70a344bd4f73a43263f8dc33f5a79dffd30bf18fcaeeeb8239f933,1101000001101001011010010110100100101011001100110011001100110011,scene_0003->scene_0003_w01
scene_0004_w00,scene_0004,train,PARTIAL_PPE,fdeef8440351e3fee286246bf39175a0c199f7d13adbbfe6a5cf3f0bf90f1387,0011000111110000110011001100100011101000001100110011001100110011,scene_0004->scene_0004_w00
scene_0004_w01,scene_0004,train,FULL_PPE,73abc468491e7ba7d87acc2363b4f45cbb139dc9b7c55fe815f47add0cdaafea,0111000101101001111010001110100001101001001100110011001100001011,scene_0004->scene_0004_w01
scene_0004_w02,scene_0004,train,FULL_PPE,d844029ef28006e9c03e759c8a187b7e7dcbaede570656abf41c0bd48f10918d,0111000111110000110011001100110011001000001100110011001100110011,scene_0004->scene_0004_w02
scene_0005_w00,scene_0005,train,FULL_PPE,e4f75839da164c2db96d5a6a8270fa6a7d89ba7a631964fe8dbfb98d79403b88,1011000001101001011010010110100100101011001100110011001100010011,scene_0005->scene_0005_w00
scene_0006_w00,scene_0006,train,NO_PPE,fcf328b2341acf157b3bae5860f7dd5969da9bb718676b9ddf879bbab9358ffa,1111000001110001000100110010101100101011001100110010101100001111,scene_0006->scene_0006_w00
scene_0007_w00,scene_0007,train,NO_PPE,dad279043fcf2e190c1346b630c4fa1a7b5e4e1906eb35dea9e10f2a3a7c2c8d,1111000101110001001010110010101100100011001100110011001100001111,scene_0007->scene_0007_w00
scene_0008_w00,scene_0008,train,PARTIAL_PPE,4dd4307a4d331b8ddd56eb873934ab5f7674f6fec541a0c8e567f37b47328834,0110000001101011011010010110100100101011001100110011001100110011,scene_0008->scene_0008_w00
scene_0008_w01,scene_0008,train,FULL_PPE,e87ab590534038b26248063740dd6f9e8fdfadd4bf6916c5aaa41e13b62ffe21,1011000000101001011010010110100100101011001100110011001100001011,scene_0008->scene_0008_w01
