sample_id,source_image_id,sha256,phash,width,height,format,file_size,class,split,dataset_version,transformation_version,created_at
scene_0000_w00,scene_0000,e223aefbce67e6d9cd03da9d09ac94a99ba3eb1c0769f1d9696b612510b9f46b,1000110000001101001010110010101100110011001100110011001100110101,123,384,JPEG,6918,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0000_w01,scene_0000,72f1ac734a426a1a77c2ceba0d023152f75663b07fda223e420f8c37d4e753f8,0010111000101111011010010110100101101001001100110011001100110011,167,264,JPEG,7741,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0001_w00,scene_0001,70839363f3e2b86683efb71a4c8202a17300f8f2293c641e5702dfef63a7283d,1010000000001111011010010110100100101011001100110011001100110011,113,250,JPEG,7460,FULL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0001_w01,scene_0001,079a0ee84bd516c1701d57a27c9bccd50709f568177e5f3dffe35e95fd131600,1001011000101011011010010110100100101011001100110011001100010011,105,278,JPEG,8323,FULL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0001_w02,scene_0001,f85c54915a85cdcb2efd3da8dd63953c964fe4565d22ecc8ed3ebc1719a4a5da,1000111000001111001010110010101100110011001100110011001100110011,101,299,JPEG,5124,NO_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0002_w00,scene_0002,0e7677b5c510bdb7cdc6505bcd273c419f45534d126c2d175e2b868fd621d024,1000011000001111011010010110100100101001001100110011001100100111,142,256,JPEG,8095,FULL_PPE,test,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0003_w00,scene_0003,690c53554f126514f6e258531b7237a8f0fff5d67cef32b1cdcbf449ec45ab69,0011000000110011001100110010101100110011001100110011001100111011,111,276,JPEG,6162,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0003_w01,scene_0003,0611ff355a70a344bd4f73a43263f8dc33f5a79dffd30bf18fcaeeeb8239f933,1101000001101001011010010110100100101011001100110011001100110011,136,352,JPEG,8787,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0004_w00,scene_0004,fdeef8440351e3fee286246bf39175a0c199f7d13adbbfe6a5cf3f0bf90f1387,0011000111110000110011001100100011101000001100110011001100110011,162,335,JPEG,9603,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0004_w01,scene_0004,73abc468491e7ba7d87acc2363b4f45cbb139dc9b7c55fe815f47add0cdaafea,0111000101101001111010001110100001101001001100110011001100001011,129,322,JPEG,10245,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0004_w02,scene_0004,d844029ef28006e9c03e759c8a187b7e7dcbaede570656abf41c0bd48f10918d,0111000111110000110011001100110011001000001100110011001100110011,173,390,JPEG,10193,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0005_w00,scene_0005,e4f75839da164c2db96d5a6a8270fa6a7d89ba7a631964fe8dbfb98d79403b88,1011000001101001011010010110100100101011001100110011001100010011,99,383,JPEG,9096,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0006_w00,scene_0006,fcf328b2341acf157b3bae5860f7dd5969da9bb718676b9ddf879bbab9358ffa,1111000001110001000100110010101100101011001100110010101100001111,173,392,JPEG,8098,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0007_w00,scene_0007,dad279043fcf2e190c1346b630c4fa1a7b5e4e1906eb35dea9e10f2a3a7c2c8d,1111000101110001001010110010101100100011001100110011001100001111,143,348,JPEG,6076,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0008_w00,scene_0008,4dd4307a4d331b8ddd56eb873934ab5f7674f6fec541a0c8e567f37b47328834,0110000001101011011010010110100100101011001100110011001100110011,123,299,JPEG,7503,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0008_w01,scene_0008,e87ab590534038b26248063740dd6f9e8fdfadd4bf6916c5aaa41e13b62ffe21,1011000000101001011010010110100100101011001100110011001100001011,124,342,JPEG,9818,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0009_w00,scene_0009,2457bdb11e020dd090091cbfec7e6d7238b891b1966cefc7c4bb25838b7c2407,1000001000001111001010110110100100101011001100110011001100001011,162,366,JPEG,11631,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0010_w00,scene_0010,4246576135976f655f09f0e26a6e274c7e76ead1c587701d89131c16afce7119,1111000001101001011010010110100101101011001100110011001100110011,116,291,JPEG,8347,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0010_w01,scene_0010,f4bde199c62a0b23f95b30c2f178f6f616a4a4fdb5341e503327ede74af11ad4,0111000001101000110010001100100011101000001100110011001100101111,156,344,JPEG,11520,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0011_w00,scene_0011,5b9526a204ebeb235480e9089febb5256069a437f3fcb95742d2fcc9b14a5e70,1111000100110001001000110010101100100011001100110011001100001101,143,269,JPEG,6147,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0011_w01,scene_0011,64d58e6d6e80feb8270a0f3e56c05380896e22990de07d5d8ea702298a5bf4a0,1111000000110001001000110010001100110011001100110011001100001111,155,279,JPEG,7470,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0012_w00,scene_0012,32a64f39041e1f9ab6f4ce93ff39e3a8975b04d1dea7e8fdb9fb7a313e758e29,1001010000001101011010010110100100101001001100110011001100110011,105,298,JPEG,8427,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0013_w00,scene_0013,015b504b6e083e8e6062037b4aea6abde2f48b0dd3870e76191f51c960f36193,1000111000001111011010010110100100101011001100110011001100011011,98,303,JPEG,7246,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0013_w01,scene_0013,2ee2ecc0133ced54294e80dead8434a55fcc6b5c573760c441e7479bd7a8eacd,0110011000101111001010110010101100110011001100110011001100110011,98,257,JPEG,5065,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0014_w00,scene_0014,1c788f874733f055471139c7a0d2ee00a126512e9daa28f4857ee9540cafba75,0111100101110001110010001100100001101001001100110011001100001011,140,349,JPEG,10037,FULL_PPE,test,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0014_w01,scene_0014,37961784c3a2b6447020554200711749c1bb65520ec20e9fd43f39341c065a89,1111000000100011001010110010101100110011001100110011001100011011,107,345,JPEG,6634,PARTIAL_PPE,test,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0015_w00,scene_0015,3114db72f848b905ca332512ab0cdd58819bac8a15220f3a6feb5d7089b44de9,1101011001001111011010010110100101101011001100110011001100010011,112,253,JPEG,8735,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0016_w00,scene_0016,13fa33c79ac241ba50270e27d6f06e949a562ffd24e5cb312d9fbbe2322735d3,0111000101110001001000110010101100100011001100110011001100001011,137,391,JPEG,7542,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0017_w00,scene_0017,dd886d5e0c563ddc8addd78a229715fa1bcf274b7f4c050da4347956c55d95c6,1011101101101001011010011110100001101001001100110011001100110011,112,260,JPEG,7314,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0018_w00,scene_0018,c2178d7d3be5d1ed2704169bf1d6f561e9f48318c62f072f7e7b9060292088f2,1010110100101101001010110010101100110011001100110011001100110101,122,302,JPEG,6743,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0018_w01,scene_0018,743887a4ced97ce1334486711f6809dcb015bcd2c3161bc5f85a19f139303522,1000011000001111001010110010101100110011001100110011001100110111,102,322,JPEG,6932,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0019_w00,scene_0019,6a4f9214121dad04fb4544acec12f4741abec7d4b532d0842d430331d84963e5,1001111000001111001010110010101100100011001100110011001100011011,168,335,JPEG,8077,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0019_w01,scene_0019,08941c83b21d4cd0e17bfe50d3816ba96160ee40678a8ece8ca8a8e6d80eaef3,1000111000001111001010110010100100101011001100110011001100110011,132,260,JPEG,7804,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0020_w00,scene_0020,b10e5dda4d9d231eebd2b921558cd9d4b392d67614c2538204b34757e5967166,1111000001110001000000110010101100110011001100110011001100001111,124,301,JPEG,6832,NO_PPE,test,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0021_w00,scene_0021,96993a989d9f74d6d35cd9db3d06af862ca112b3a377476f13638bfc21d375cb,0111000101110001001000110010101100110011001100110011001100110011,113,242,JPEG,4722,PARTIAL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0021_w01,scene_0021,590ba3dfffca9ceebcc42e06ff7de1380e56dcc1853538a085f557124029d6fd,0111000111110000110011001100100011001000001100110011001100110011,115,353,JPEG,7818,FULL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0022_w00,scene_0022,1bf330003d167f0dc6bd19e7cb4cf781fb3a7970dde71297620ab8ffbb6d68ee,1111000000110011001010110010101100100011001100110011001100001111,172,292,JPEG,5624,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0022_w01,scene_0022,3cc1f5797bc98e1574af79411e9bf0b82242a898e3f91a9dc2d9ecb7a2a64c89,0011000000110011001010110010101100110011001100110011001100110011,134,369,JPEG,6574,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0022_w02,scene_0022,d108bc8749755c940466e924925d125ae65d84a8ce21880c2e1223a197acaafd,0111001101110000110011001100110011101000001100110011001100110011,163,335,JPEG,8766,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0023_w00,scene_0023,eea614434f8f2abb1ce78444c97bd1a0b9b761fb11294cd57c9934fa24f28cab,1001111000001111001010110010101100100011001100110011001100011011,154,245,JPEG,6519,PARTIAL_PPE,test,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
